Comoound,x(BiMe1Me2)O3,Me1,Me2,Me3,frac-Me1,frac-Me2,frac-Me3,PT-content,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number,Formability
Bi(GaSc),0.45,Ga,Sc,Ti,0.25,0.75,0,0.55,0.9813,8.0000,3.7395,3.9208,118.9375,No
Bi(GaSc),0.4,Ga,Sc,Ti,0.25,0.75,0,0.6,0.9864,8.0000,3.7440,3.9215,119.5000,No
Bi(GaSc),0.38,Ga,Sc,Ti,0.25,0.75,0,0.62,0.9884,8.0000,3.7458,3.9218,119.7250,No
Bi(GaSc),0.36,Ga,Sc,Ti,0.25,0.75,0,0.64,0.9904,8.0000,3.7476,3.9221,119.9500,No
Bi(GaSc),0.3,Ga,Sc,Ti,0.25,0.75,0,0.7,0.9966,8.0000,3.7530,3.9229,120.6250,Yes
Bi(GaSc),0.2,Ga,Sc,Ti,0.25,0.75,0,0.8,1.0068,8.0000,3.7620,3.9243,121.7500,Yes
Bi(MgW),0.8,Mg,W,Ti,0.75,0.25,0,0.2,0.9541,8.0000,3.6120,3.8606,144.6000,No
Bi(MgW),0.7,Mg,W,Ti,0.75,0.25,0,0.3,0.9633,8.0000,3.6330,3.8689,142.0250,No
Bi(MgW),0.65,Mg,W,Ti,0.75,0.25,0,0.35,0.9678,8.0000,3.6435,3.8731,140.7375,No
Bi(MgW),0.6,Mg,W,Ti,0.75,0.25,0,0.4,0.9724,8.0000,3.6540,3.8772,139.4500,No
Bi(MgW),0.55,Mg,W,Ti,0.75,0.25,0,0.45,0.9770,8.0000,3.6645,3.8814,138.1625,No
Bi(MgW),0.5,Mg,W,Ti,0.75,0.25,0,0.5,0.9815,8.0000,3.6750,3.8855,136.8750,No
Bi(MgW),0.4,Mg,W,Ti,0.75,0.25,0,0.6,0.9907,8.0000,3.6960,3.8938,134.3000,Yes
Bi(MgW),0.3,Mg,W,Ti,0.75,0.25,0,0.7,0.9998,8.0000,3.7170,3.9021,131.7250,Yes
Bi(MgW),0.2,Mg,W,Ti,0.75,0.25,0,0.8,1.0089,8.0000,3.7380,3.9104,129.1500,Yes
Bi(NiNb),0.4,Ni,Nb,Ti,0.67,0.33,0,0.6,0.9937,10.1400,3.8636,3.8950,131.3520,Yes
Bi(NiNb),0.35,Ni,Nb,Ti,0.67,0.33,0,0.65,0.9979,9.8725,3.8532,3.8990,130.4330,Yes
Bi(NiNb),0.3,Ni,Nb,Ti,0.67,0.33,0,0.7,1.0021,9.6050,3.8427,3.9030,129.5140,Yes
Bi(NiNb),0.2,Ni,Nb,Ti,0.67,0.33,0,0.8,1.0105,9.0700,3.8218,3.9110,127.6760,Yes
Bi(NiNb),0.15,Ni,Nb,Ti,0.67,0.33,0,0.85,1.0146,8.8025,3.8114,3.9150,126.7570,Yes
Bi(NiNb),0.1,Ni,Nb,Ti,0.67,0.33,0,0.9,1.0188,8.5350,3.8009,3.9190,125.8380,Yes
Bi(NiTi),0.05,Ni,Ti,Ti,0.5,0.5,0,0.95,1.0236,8.2000,3.7885,3.9226,124.7000,Yes
Bi(NiTi),0.1,Ni,Ti,Ti,0.5,0.5,0,0.9,1.0201,8.4000,3.7970,3.9182,125.4000,Yes
Bi(NiTi),0.15,Ni,Ti,Ti,0.5,0.5,0,0.85,1.0165,8.6000,3.8055,3.9138,126.1000,Yes
Bi(NiTi),0.2,Ni,Ti,Ti,0.5,0.5,0,0.8,1.0129,8.8000,3.8140,3.9094,126.8000,Yes
Bi(NiTi),0.25,Ni,Ti,Ti,0.5,0.5,0,0.75,1.0094,9.0000,3.8225,3.9050,127.5000,Yes
Bi(NiTi),0.3,Ni,Ti,Ti,0.5,0.5,0,0.7,1.0058,9.2000,3.8310,3.9006,128.2000,Yes
Bi(NiTi),0.35,Ni,Ti,Ti,0.5,0.5,0,0.65,1.0022,9.4000,3.8395,3.8962,128.9000,Yes
Bi(NiTi),0.4,Ni,Ti,Ti,0.5,0.5,0,0.6,0.9986,9.6000,3.8480,3.8918,129.6000,Yes
Bi(NiTi),0.45,Ni,Ti,Ti,0.5,0.5,0,0.55,0.9951,9.8000,3.8565,3.8874,130.3000,Yes
Bi(NiTi),0.5,Ni,Ti,Ti,0.5,0.5,0,0.5,0.9915,10.0000,3.8650,3.8830,131.0000,Yes
Bi(NiTi),0.55,Ni,Ti,Ti,0.5,0.5,0,0.45,0.9879,10.2000,3.8735,3.8786,131.7000,Yes
Bi(NiTi),0.6,Ni,Ti,Ti,0.5,0.5,0,0.4,0.9844,10.4000,3.8820,3.8742,132.4000,Yes
Bi(NiTi),0.65,Ni,Ti,Ti,0.5,0.5,0,0.35,0.9808,10.6000,3.8905,3.8698,133.1000,No
Bi(NiTi),0.7,Ni,Ti,Ti,0.5,0.5,0,0.3,0.9772,10.8000,3.8990,3.8654,133.8000,No
Bi(NiTi),0.75,Ni,Ti,Ti,0.5,0.5,0,0.25,0.9736,11.0000,3.9075,3.8610,134.5000,No
Bi(ScFe),0.36,Sc,Fe,Ti,0.5,0.5,0,0.64,0.9935,8.9000,3.7602,3.9151,122.2000,Yes
Bi(ScFe),0.45,Sc,Fe,Ti,0.5,0.5,0,0.55,0.9851,9.1250,3.7553,3.9122,121.7500,Yes
Bi(ScFe),0.46,Sc,Fe,Ti,0.5,0.5,0,0.54,0.9841,9.1500,3.7547,3.9118,121.7000,Yes
Bi(ScFe),0.47,Sc,Fe,Ti,0.5,0.5,0,0.53,0.9832,9.1750,3.7542,3.9115,121.6500,Yes
Bi(ScFe),0.5,Sc,Fe,Ti,0.5,0.5,0,0.5,0.9804,9.2500,3.7525,3.9105,121.5000,Yes
Bi(ScFe),0.55,Sc,Fe,Ti,0.5,0.5,0,0.45,0.9757,9.3750,3.7498,3.9089,121.2500,Yes
Bi(ZnW),0,Zn,W,Ti,0.75,0.25,0,1,1.0272,8.0000,3.7800,3.9270,124.0000,Yes
Bi(ZnW),0.1,Zn,W,Ti,0.75,0.25,0,0.9,1.0174,8.7500,3.7688,3.9195,126.6500,Yes
